Date,Range,Profit,Balance
2019.12.13 15:06:05,518,124.5,5124.5
2019.12.26 18:19:17,624,283.56,5408.06
2020.01.03 11:58:29,1208,339.12,5747.18
2020.01.06 17:57:30,1295,169.29,5916.47
2020.01.09 08:40:31,747,539.26,6455.73
2020.01.10 15:59:15,637,-373.75,6081.98
2020.01.13 12:17:41,574,279.99,6361.97
2020.01.15 15:22:13,650,-374.4,5987.57
2020.01.22 20:00:00,744,6.6,5994.17
2020.01.22 20:00:00,744,6.6,5994.17
2020.01.23 16:44:27,764,-413.4,5580.77
2020.01.27 11:35:40,580,-292.88,5287.89
2020.01.29 17:21:42,589,113.95,5401.84
2020.02.03 10:05:29,1064,130.14,5531.98
2020.02.05 16:35:15,546,-271.7,5260.28
2020.02.10 20:00:00,707,71.02,5331.3
2020.02.10 20:00:00,707,71.02,5331.3
2020.02.14 20:00:00,512,288.32,5619.62
2020.02.14 20:00:00,512,288.32,5619.62
2020.02.19 14:18:31,525,194.88,5814.5
2020.02.20 13:00:30,596,-312.04,5502.46
2020.02.24 10:43:40,923,851.4,6353.86
2020.02.26 11:17:37,938,367.36,6721.22
2020.02.27 09:35:32,824,-498.48,6222.74
2020.03.04 09:20:27,800,282.72,6505.46
2020.03.05 12:34:38,519,315.9,6821.36
2020.03.06 09:25:04,889,-545.36,6276.0
2020.03.09 06:17:42,1294,441.63,6717.63
2020.03.27 16:27:32,1154,-717.57,6000.06
2020.04.01 16:51:41,861,-474.6,5525.46
2020.04.02 15:20:44,1339,455.4,5980.86
2020.04.03 10:43:10,742,-408.0,5572.86
2020.04.06 09:49:27,986,241.36,5814.22
2020.04.13 17:44:14,1228,207.64,6021.86
2020.04.15 09:57:00,1174,245.4,6267.26
2020.04.16 10:03:41,775,150.57,6417.83
2020.04.17 09:11:14,1242,1007.36,7425.19
2020.04.20 09:20:49,964,-650.46,6774.73
2020.04.22 10:12:36,890,-597.04,6177.69
2020.04.23 09:03:14,1099,-631.16,5546.53
2020.04.24 09:32:37,977,-489.5,5057.03
2020.04.27 10:01:39,648,219.3,5276.33
2020.04.29 10:59:17,830,-403.33,4873.0
2020.04.30 10:46:16,685,139.16,5012.16
2020.05.01 09:08:07,847,373.5,5385.66
2020.05.04 10:00:59,664,146.34,5532.0
2020.05.06 10:24:48,700,-351.45,5180.55
2020.05.07 11:24:35,751,-354.12,4826.43
2020.05.08 15:30:06,945,-408.48,4417.95
2020.05.11 13:20:58,948,169.4,4587.35
2020.05.13 09:02:10,565,-239.2,4348.15
2020.05.14 10:04:52,750,-310.89,4037.26
2020.05.15 15:48:29,582,272.4,4309.66
2020.05.20 15:41:36,710,-276.49,4033.17
2020.05.21 11:54:28,1075,120.4,4153.57
2020.05.22 08:21:54,589,-223.44,3930.13
2020.05.25 17:54:13,643,-230.49,3699.64
2020.05.27 14:48:06,641,304.88,4004.52
2020.05.28 10:03:13,658,97.6,4102.12
2020.05.29 15:10:13,998,223.86,4325.98
2020.06.01 13:12:56,847,-338.41,3987.57
2020.06.03 11:43:30,1191,136.4,4123.97
2020.06.04 09:47:21,832,-309.14,3814.83
2020.06.05 13:21:47,541,196.46,4011.29
2020.06.08 09:47:07,1114,117.2,4128.49
2020.06.10 15:19:15,659,138.58,4267.07
2020.06.11 10:22:29,715,-279.07,3988.0
2020.06.12 12:40:20,813,115.2,4103.2
2020.06.15 09:55:41,742,153.75,4256.95
2020.06.17 10:43:20,597,-235.64,4021.31
2020.06.18 12:24:19,645,171.2,4192.51
2020.06.22 15:56:10,1359,-530.04,3662.47
2020.06.24 11:20:39,721,-265.66,3396.81
2020.06.25 13:59:11,773,-240.04,3156.77
2020.06.26 11:28:32,569,-168.96,2987.81
2020.06.29 11:04:55,746,-202.2,2785.61
2020.07.02 10:51:12,527,-133.84,2651.77
2020.07.06 16:01:18,687,149.31,2801.08
2020.07.08 14:20:29,507,126.84,2927.92
2020.07.16 20:00:00,516,189.95,3117.87
2020.07.16 20:00:00,516,189.95,3117.87
2020.07.23 11:47:37,1280,282.72,3400.59
2020.07.29 17:15:09,1401,170.68,3571.27
2020.07.30 09:55:35,999,203.4,3774.67
2020.07.31 09:18:33,1491,123.12,3897.79
2020.08.03 16:49:46,1471,168.87,4066.66
2020.08.06 08:38:24,1018,72.16,4138.82
2020.08.07 06:58:02,1048,204.59,4343.41
2020.08.10 17:01:05,1089,360.77,4704.18
2020.08.24 10:39:58,755,414.54,5118.72
2020.08.26 09:14:13,743,265.2,5383.92
2020.08.28 08:11:38,1492,228.42,5612.34
